纬度：4047.699	经度：11141.700	时间：100517	海拔：1057
纬度：4047.700	经度：11141.700	时间：100517	海拔：1056
纬度：4047.701	经度：11141.699	时间：100517	海拔：1056
纬度：4047.702	经度：11141.700	时间：100517	海拔：1056
纬度：4047.702	经度：11141.700	时间：100517	海拔：1057
纬度：4047.703	经度：11141.701	时间：100517	海拔：1057
纬度：4047.704	经度：11141.700	时间：100517	海拔：1057
纬度：4047.706	经度：11141.700	时间：100517	海拔：1057
纬度：4047.710	经度：11141.699	时间：100517	海拔：1057
纬度：4047.713	经度：11141.698	时间：100517	海拔：1057
纬度：4047.716	经度：11141.697	时间：100517	海拔：1057
纬度：4047.718	经度：11141.696	时间：100517	海拔：1057
纬度：4047.719	经度：11141.696	时间：100517	海拔：1057
纬度：4047.719	经度：11141.696	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.719	经度：11141.695	时间：100517	海拔：1057
纬度：4047.722	经度：11141.691	时间：100517	海拔：1053
纬度：4047.724	经度：11141.690	时间：100517	海拔：1053
纬度：4047.726	经度：11141.688	时间：100517	海拔：1054
纬度：4047.730	经度：11141.687	时间：100517	海拔：1054
纬度：4047.733	经度：11141.685	时间：100517	海拔：1054
纬度：4047.737	经度：11141.682	时间：100517	海拔：1054
纬度：4047.742	经度：11141.680	时间：100517	海拔：1054
纬度：4047.746	经度：11141.678	时间：100517	海拔：1054
纬度：4047.750	经度：11141.676	时间：100517	海拔：1055
纬度：4047.755	经度：11141.673	时间：100517	海拔：1055
纬度：4047.760	经度：11141.670	时间：100517	海拔：1056
纬度：4047.765	经度：11141.668	时间：100517	海拔：1056
纬度：4047.770	经度：11141.665	时间：100517	海拔：1056
纬度：4047.776	经度：11141.663	时间：100517	海拔：1056
纬度：4047.781	经度：11141.660	时间：100517	海拔：1057
